system:index,20230204T091201_20230204T091332_T35UNT_NDVI,20230207T092141_20230207T092337_T35UNT_NDVI,20230209T091029_20230209T091028_T35UNT_NDVI,20230212T092029_20230212T092026_T35UMT_NDVI,20230212T092029_20230212T092026_T35UNT_NDVI,20230214T091051_20230214T091332_T35UNT_NDVI,20230306T090831_20230306T091330_T35UNS_NDVI,20230306T090831_20230306T091330_T35UNT_NDVI,20230319T092031_20230319T092026_T35UMT_NDVI,20230319T092031_20230319T092026_T35UNT_NDVI,20230326T090611_20230326T091116_T35UNS_NDVI,20230326T090611_20230326T091116_T35UNT_NDVI,20230418T092031_20230418T092027_T35UMT_NDVI,20230418T092031_20230418T092027_T35UNT_NDVI,20230423T092029_20230423T092030_T35UMT_NDVI,20230423T092029_20230423T092030_T35UNS_NDVI,20230423T092029_20230423T092030_T35UNT_NDVI,20230425T090551_20230425T091049_T35UNS_NDVI,20230425T090551_20230425T091049_T35UNT_NDVI,20230428T092031_20230428T092028_T35UNT_NDVI,20230430T090559_20230430T091055_T35UNS_NDVI,20230430T090559_20230430T091055_T35UNT_NDVI,20230508T092031_20230508T092028_T35UNT_NDVI,20230510T090559_20230510T091059_T35UNS_NDVI,20230510T090559_20230510T091059_T35UNT_NDVI,20230513T092029_20230513T092031_T35UMT_NDVI,20230513T092029_20230513T092031_T35UNT_NDVI,20230520T090559_20230520T091054_T35UNT_NDVI,20230523T091559_20230523T091940_T35UNT_NDVI,20230525T090601_20230525T091013_T35UNT_NDVI,20230528T092031_20230528T092032_T35UMT_NDVI,20230528T092031_20230528T092032_T35UNS_NDVI,20230528T092031_20230528T092032_T35UNT_NDVI,20230530T090559_20230530T091053_T35UNT_NDVI,20230602T091559_20230602T091939_T35UMT_NDVI,20230602T091559_20230602T091939_T35UNT_NDVI,20230604T090601_20230604T091053_T35UNT_NDVI,20230617T092031_20230617T092032_T35UNT_NDVI,20230619T090559_20230619T091056_T35UNT_NDVI,20230624T090601_20230624T091055_T35UNT_NDVI,20230702T091559_20230702T091943_T35UMT_NDVI,20230702T091559_20230702T091943_T35UNT_NDVI,20230709T090559_20230709T091057_T35UNS_NDVI,20230709T090559_20230709T091057_T35UNT_NDVI,20230712T091559_20230712T091940_T35UMT_NDVI,20230712T091559_20230712T091940_T35UNS_NDVI,20230712T091559_20230712T091940_T35UNT_NDVI,20230717T092031_20230717T092032_T35UMT_NDVI,20230717T092031_20230717T092032_T35UNS_NDVI,20230717T092031_20230717T092032_T35UNT_NDVI,20230719T090559_20230719T091058_T35UNT_NDVI,20230729T090559_20230729T091058_T35UNT_NDVI,20230801T091559_20230801T091943_T35UMT_NDVI,20230801T091559_20230801T091943_T35UNS_NDVI,20230801T091559_20230801T091943_T35UNT_NDVI,20230803T090601_20230803T091014_T35UNS_NDVI,20230803T090601_20230803T091014_T35UNT_NDVI,20230806T092031_20230806T092037_T35UMT_NDVI,20230806T092031_20230806T092037_T35UNS_NDVI,20230806T092031_20230806T092037_T35UNT_NDVI,20230813T090601_20230813T091445_T35UNS_NDVI,20230813T090601_20230813T091445_T35UNT_NDVI,20230816T092031_20230816T092034_T35UMT_NDVI,20230816T092031_20230816T092034_T35UNT_NDVI,20230821T091559_20230821T092555_T35UMT_NDVI,20230821T091559_20230821T092555_T35UNS_NDVI,20230821T091559_20230821T092555_T35UNT_NDVI,20230823T090601_20230823T091022_T35UNT_NDVI,20230828T090559_20230828T091557_T35UNS_NDVI,20230828T090559_20230828T091557_T35UNT_NDVI,20230905T092031_20230905T092033_T35UMT_NDVI,20230905T092031_20230905T092033_T35UNS_NDVI,20230905T092031_20230905T092033_T35UNT_NDVI,20230907T090559_20230907T090731_T35UNS_NDVI,20230907T090559_20230907T090731_T35UNT_NDVI,20230910T091559_20230910T092601_T35UMT_NDVI,20230910T091559_20230910T092601_T35UNS_NDVI,20230910T091559_20230910T092601_T35UNT_NDVI,20230912T090601_20230912T091011_T35UNS_NDVI,20230912T090601_20230912T091011_T35UNT_NDVI,20230915T092031_20230915T092032_T35UNT_NDVI,20230917T090629_20230917T091535_T35UNS_NDVI,20230917T090629_20230917T091535_T35UNT_NDVI,20230922T090701_20230922T091334_T35UNS_NDVI,20230922T090701_20230922T091334_T35UNT_NDVI,20230925T092031_20230925T092341_T35UNT_NDVI,20230927T090659_20230927T090954_T35UNT_NDVI,20230930T091709_20230930T092515_T35UMT_NDVI,20230930T091709_20230930T092515_T35UNS_NDVI,20230930T091709_20230930T092515_T35UNT_NDVI,20231005T092031_20231005T092029_T35UNT_NDVI,20231010T091819_20231010T091814_T35UMT_NDVI,20231010T091819_20231010T091814_T35UNS_NDVI,20231010T091819_20231010T091814_T35UNT_NDVI,20231017T090859_20231017T090944_T35UNS_NDVI,20231017T090859_20231017T090944_T35UNT_NDVI,20231022T091021_20231022T091332_T35UNT_NDVI,20231104T092141_20231104T092333_T35UNT_NDVI,20231119T092159_20231119T092200_T35UMT_NDVI,20231119T092159_20231119T092200_T35UNS_NDVI,20231119T092159_20231119T092200_T35UNT_NDVI,20231221T091401_20231221T091404_T35UNT_NDVI,20231231T091401_20231231T091358_T35UNT_NDVI,lc,remapped,.geo
00000000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.477226732269166,,0.47264508271163286,0.2385053560306696,,0.23505645828182195,,,,,,,,0.48901491951780257,,0.48577670148170454,,,,,,,,,,,0.48784351794898106,,0.4827347269404232,,,0.48988622913555224,,0.4834044764912318,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.121177169912155,51.522131908101315]}"
00000000000000000001,,,,,,,,,,,,,,,,,,,,,,0.6533110144457309,,,,,,,,,,,0.538795347792221,,,,,,,,,,,,,,,,,0.6748158887130062,,,,,,,,,,0.7099085286631336,,0.7105241974735477,,,,,,,,,,,,,,,,0.7289625661713737,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.289055691595195,51.476308528899885]}"
00000000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1957542402944327,,,,,,,,,,0.6742687592971353,,,0.6097255627584566,,0.5806430951267684,,,,,,,,,,,,,0.5273773276886973,,,0.6560874470507477,,0.29250558433619217,,,,,0.5151994936590563,,,,,0.5275228447924937,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.230525827501417,51.530405129202855]}"
00000000000000000003,,,,,,,,,,,,,,,,,,,,,,0.433228618974318,,,,,,,,,,,0.6023348880057432,,,,,,,,,,,,,,,,,0.6916062302735387,,,,,,,0.4939066721738872,,,0.7049114455441499,,0.7203787461159722,,0.671528923133063,,,,,,0.38707602091657334,,,,,0.677041453298798,,,0.6769982131700667,,0.660316873231983,,,0.48608619150390975,,0.5016683615119009,,,,,0.5870760988080853,,,,0.4257555562757851,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.192913741879927,51.566728258740646]}"
00000000000000000004,,,,,,,,,,,,,,,,,,,,,,0.22977289712888585,,,,,,,,,,,,,,,,,,,,,,,,,0.08256787345522926,,,0.21995689349920572,,,,,,,0.6849522020270765,,,0.31201184228434314,,0.3501670782257911,,,,,,,,,,,,,,,,0.6653955812627226,,,,,,,0.06548156462559084,,,,,,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.210845628012894,51.53557173063533]}"
00000000000000000005,,,,,,,,,,,,,,,,,,,0.3787603707405445,,,0.5178213913559644,,,,,,,,,,,0.4145357241165611,,,,,,,,,,,,,,0.5596400266872242,,,,,,,,,,0.5836458116972527,,,0.5660794205676402,,0.561385506405041,,,,,0.44489657912665215,,,0.37698902193110545,,,0.5008548661018986,,0.5408233237239509,,,0.5480398718191652,,0.5380356726057135,,,0.47527454438663663,,0.2947326803964282,,,,,0.5203884484546255,,,,0.5266964454499502,,0.45008398278229905,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.179195935161164,51.50583265900837]}"
00000000000000000006,,,,,,,,,,,,,,,,,,,,,,0.461148614988846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7796939235695907,,,0.5998937632221213,,,,,,,,,,,,,,,,,,0.6923882446321501,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.193382212724288,51.533273168495676]}"
00000000000000000007,,,,,,,,,,,,,,,,,,,,,,0.6275279580060047,,,,,,,,,,,0.6118115279950253,,,,,,,,,,,,,,,,,0.641367511414076,,,,,,,,,,0.6842009679260168,,0.6819319938586142,,,,,,,,,,,0.6805763240574169,,0.6590141517505084,,,0.6964696864692532,,0.3792461228478793,,,,,,,,,,,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.28335651437284,51.464392871613754]}"
00000000000000000008,,,,,,,,,,,,,,,,,0.3141790656140602,,0.3418779531303717,,,0.6009694672360713,,,,,,,,,,,0.5493538679043992,,,,,,,,,,,,,,,,,0.2922175191427304,,,,,,,0.6745223697621265,,,0.7227137856472647,,0.6968432844631256,,,,,,,,,,,0.6164723800964096,,0.5915260152751897,,,0.7227816018117529,,0.48593610849510244,,,0.41895231084218104,,0.3205016217534504,,,,,0.3762847356785452,,,,0.47895060564114667,,0.12310702757500197,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.24040692790445,51.532526763398266]}"
00000000000000000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09455156488483456,,,0.2350442333826943,,,,,,,0.6486555200044801,,,,,0.3683246020016486,,,,,,,,,,,,,,,,0.64253189031229,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.21027991307444,51.535452833047614]}"
