system:index,20230204T091201_20230204T091332_T35UNT_STR,20230207T092141_20230207T092337_T35UNT_STR,20230209T091029_20230209T091028_T35UNT_STR,20230212T092029_20230212T092026_T35UMT_STR,20230212T092029_20230212T092026_T35UNT_STR,20230214T091051_20230214T091332_T35UNT_STR,20230306T090831_20230306T091330_T35UNS_STR,20230306T090831_20230306T091330_T35UNT_STR,20230319T092031_20230319T092026_T35UMT_STR,20230319T092031_20230319T092026_T35UNT_STR,20230326T090611_20230326T091116_T35UNS_STR,20230326T090611_20230326T091116_T35UNT_STR,20230418T092031_20230418T092027_T35UMT_STR,20230418T092031_20230418T092027_T35UNT_STR,20230423T092029_20230423T092030_T35UMT_STR,20230423T092029_20230423T092030_T35UNS_STR,20230423T092029_20230423T092030_T35UNT_STR,20230425T090551_20230425T091049_T35UNS_STR,20230425T090551_20230425T091049_T35UNT_STR,20230428T092031_20230428T092028_T35UNT_STR,20230430T090559_20230430T091055_T35UNS_STR,20230430T090559_20230430T091055_T35UNT_STR,20230508T092031_20230508T092028_T35UNT_STR,20230510T090559_20230510T091059_T35UNS_STR,20230510T090559_20230510T091059_T35UNT_STR,20230513T092029_20230513T092031_T35UMT_STR,20230513T092029_20230513T092031_T35UNT_STR,20230520T090559_20230520T091054_T35UNT_STR,20230523T091559_20230523T091940_T35UNT_STR,20230525T090601_20230525T091013_T35UNT_STR,20230528T092031_20230528T092032_T35UMT_STR,20230528T092031_20230528T092032_T35UNS_STR,20230528T092031_20230528T092032_T35UNT_STR,20230530T090559_20230530T091053_T35UNT_STR,20230602T091559_20230602T091939_T35UMT_STR,20230602T091559_20230602T091939_T35UNT_STR,20230604T090601_20230604T091053_T35UNT_STR,20230617T092031_20230617T092032_T35UNT_STR,20230619T090559_20230619T091056_T35UNT_STR,20230624T090601_20230624T091055_T35UNT_STR,20230702T091559_20230702T091943_T35UMT_STR,20230702T091559_20230702T091943_T35UNT_STR,20230709T090559_20230709T091057_T35UNS_STR,20230709T090559_20230709T091057_T35UNT_STR,20230712T091559_20230712T091940_T35UMT_STR,20230712T091559_20230712T091940_T35UNS_STR,20230712T091559_20230712T091940_T35UNT_STR,20230717T092031_20230717T092032_T35UMT_STR,20230717T092031_20230717T092032_T35UNS_STR,20230717T092031_20230717T092032_T35UNT_STR,20230719T090559_20230719T091058_T35UNT_STR,20230729T090559_20230729T091058_T35UNT_STR,20230801T091559_20230801T091943_T35UMT_STR,20230801T091559_20230801T091943_T35UNS_STR,20230801T091559_20230801T091943_T35UNT_STR,20230803T090601_20230803T091014_T35UNS_STR,20230803T090601_20230803T091014_T35UNT_STR,20230806T092031_20230806T092037_T35UMT_STR,20230806T092031_20230806T092037_T35UNS_STR,20230806T092031_20230806T092037_T35UNT_STR,20230813T090601_20230813T091445_T35UNS_STR,20230813T090601_20230813T091445_T35UNT_STR,20230816T092031_20230816T092034_T35UMT_STR,20230816T092031_20230816T092034_T35UNT_STR,20230821T091559_20230821T092555_T35UMT_STR,20230821T091559_20230821T092555_T35UNS_STR,20230821T091559_20230821T092555_T35UNT_STR,20230823T090601_20230823T091022_T35UNT_STR,20230828T090559_20230828T091557_T35UNS_STR,20230828T090559_20230828T091557_T35UNT_STR,20230905T092031_20230905T092033_T35UMT_STR,20230905T092031_20230905T092033_T35UNS_STR,20230905T092031_20230905T092033_T35UNT_STR,20230907T090559_20230907T090731_T35UNS_STR,20230907T090559_20230907T090731_T35UNT_STR,20230910T091559_20230910T092601_T35UMT_STR,20230910T091559_20230910T092601_T35UNS_STR,20230910T091559_20230910T092601_T35UNT_STR,20230912T090601_20230912T091011_T35UNS_STR,20230912T090601_20230912T091011_T35UNT_STR,20230915T092031_20230915T092032_T35UNT_STR,20230917T090629_20230917T091535_T35UNS_STR,20230917T090629_20230917T091535_T35UNT_STR,20230922T090701_20230922T091334_T35UNS_STR,20230922T090701_20230922T091334_T35UNT_STR,20230925T092031_20230925T092341_T35UNT_STR,20230927T090659_20230927T090954_T35UNT_STR,20230930T091709_20230930T092515_T35UMT_STR,20230930T091709_20230930T092515_T35UNS_STR,20230930T091709_20230930T092515_T35UNT_STR,20231005T092031_20231005T092029_T35UNT_STR,20231010T091819_20231010T091814_T35UMT_STR,20231010T091819_20231010T091814_T35UNS_STR,20231010T091819_20231010T091814_T35UNT_STR,20231017T090859_20231017T090944_T35UNS_STR,20231017T090859_20231017T090944_T35UNT_STR,20231022T091021_20231022T091332_T35UNT_STR,20231104T092141_20231104T092333_T35UNT_STR,20231119T092159_20231119T092200_T35UMT_STR,20231119T092159_20231119T092200_T35UNS_STR,20231119T092159_20231119T092200_T35UNT_STR,20231221T091401_20231221T091404_T35UNT_STR,20231231T091401_20231231T091358_T35UNT_STR,lc,remapped,.geo
00000000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9527449656505973,,2.959135151233803,1.490151024729757,,1.4954763594127838,,,,,,,,3.76359294980021,,3.7715564212020563,,,,,,,,,,,3.649245573549855,,3.6594270167707585,,,3.61094162091106,,3.616337399363788,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.121177169912155,51.522131908101315]}"
00000000000000000001,,,,,,,,,,,,,,,,,,,,,,5.200953900949214,,,,,,,,,,,4.470384266911721,,,,,,,,,,,,,,,,,5.414009540800064,,,,,,,,,,6.039074402547477,,5.415889081500826,,,,,,,,,,,,,,,,6.601471651168096,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.289055691595195,51.476308528899885]}"
00000000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.241253177595247,,,,,,,,,,5.1554348809378485,,,4.52724028931183,,3.648359807981115,,,,,,,,,,,,,2.587556037232449,,,3.6716051745036293,,1.4319478324751735,,,,,2.4507107469770646,,,,,2.2933247538110297,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.230525827501417,51.530405129202855]}"
00000000000000000003,,,,,,,,,,,,,,,,,,,,,,2.0953832199784364,,,,,,,,,,,2.7767207360321704,,,,,,,,,,,,,,,,,3.1848501726613296,,,,,,,2.4190679807511586,,,3.8695160688456496,,3.5674804716694113,,5.804324264158738,,,,,,1.8401111285973029,,,,,3.2760297176248634,,,3.467356909970307,,3.2182979048514855,,,2.2724386267110606,,2.494723900105137,,,,,2.9440092656617805,,,,2.2622485285172926,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.192913741879927,51.566728258740646]}"
00000000000000000004,,,,,,,,,,,,,,,,,,,,,,1.6469907690337997,,,,,,,,,,,,,,,,,,,,,,,,,0.6839862004969937,,,1.2675028171669058,,,,,,,5.646868861451441,,,2.5082611032083735,,2.4582015846321643,,,,,,,,,,,,,,,,4.135097680989307,,,,,,,0.34494686126708984,,,,,,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.210845628012894,51.53557173063533]}"
00000000000000000005,,,,,,,,,,,,,,,,,,,2.2172173680632024,,,3.267520376343846,,,,,,,,,,,2.4169784484266423,,,,,,,,,,,,,,2.470558486557872,,,,,,,,,,3.165877999632267,,,2.9749839305877686,,2.724082542384833,,,,,1.8994981707358847,,,1.7047144496251667,,,2.4971186952526065,,2.4571848288685287,,,2.662700389788535,,2.4947161836689022,,,2.1554507025245098,,1.4724185455953724,,,,,2.5520207254794722,,,,3.081791531742295,,2.6393469223359816,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.179195935161164,51.50583265900837]}"
00000000000000000006,,,,,,,,,,,,,,,,,,,,,,3.9245315587439507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.738708909136368,,,5.525229034510329,,,,,,,,,,,,,,,,,,5.955678571649149,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.193382212724288,51.533273168495676]}"
00000000000000000007,,,,,,,,,,,,,,,,,,,,,,4.638818924659504,,,,,,,,,,,4.789920798234658,,,,,,,,,,,,,,,,,4.5063264115867705,,,,,,,,,,5.265055485593489,,4.6596375495668445,,,,,,,,,,,4.99048724898946,,4.5513755372322064,,,5.358353420179718,,2.6313458072895908,,,,,,,,,,,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.28335651437284,51.464392871613754]}"
00000000000000000008,,,,,,,,,,,,,,,,,1.8067001772035007,,1.9380645835751038,,,4.1263630992971585,,,,,,,,,,,3.8668782094708916,,,,,,,,,,,,,,,,,1.7867884435891566,,,,,,,5.026174322007194,,,6.041525534221105,,4.9520979916968315,,,,,,,,,,,4.641295978001186,,3.739860901756892,,,5.594852325867634,,2.858707374996609,,,2.37707544995003,,1.8718715627717863,,,,,1.9980612509374986,,,,3.492877808287571,,0.8566673304758915,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.24040692790445,51.532526763398266]}"
00000000000000000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.762048237988738,,,1.3295230741133226,,,,,,,5.33741298013804,,,,,2.5823097607446095,,,,,,,,,,,,,,,,4.003073986966053,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.21027991307444,51.535452833047614]}"
