dataset,wet.y,wet.slope,dry.y,dry.slope
somyne1,-0.10761184,9.701768503,-0.220814103,1.338497728
somyne2,0.008863973,9.507683703,-0.131738783,1.102763052
somyne3,0.838326827,8.442063415,-0.1358059,1.290587411
somyne4,0.123573802,6.803369107,-0.070511833,1.066625756
somyne5,0.123573802,6.803369107,-0.118862618,1.053141428
somyne6,1.40826864,5.869908595,0.064640088,0.544917229
cheremske1,0.032022139,10.66217999,-0.135038038,1.171722475
cheremske2,0.935213185,9.549387094,-0.191318472,1.147553426
cheremske3,0.335122933,9.557621099,-0.008569989,0.667752652
cheremske4,0.166651375,12.00947409,-0.176849976,1.168454304
